Crime,Total,White,"Black or
African
American","American
Indian or
Alaska
Native",Asian,"Native
Hawaiian
or Other
Pacific
Islander",Total,White,"Black or
African
American","American
Indian or
Alaskan
Native",Asian,"Native
Hawaiian
or Other
Pacific
Islander",Total2,"Hispanic
or
Latino","Not
Hispanic
or Latino",Total,"Hispanic
or
Latino","Not
Hispanic
or Latino",2013
TOTAL 2013,9014635,6214197,2549655,140290,105109,5384,100,68.9,28.3,1.6,1.2,0.1,4813531,799931,4013600,100,16.6,83.4,2013
Murder and nonnegligent manslaughter,8383,3799,4379,98,101,6,100,45.3,52.2,1.2,1.2,0.1,4850,1052,3798,100,21.7,78.3,2013
Rape3,13515,8946,4229,160,173,7,100,66.2,31.3,1.2,1.3,0.1,9671,2006,7665,100,20.7,79.3,2013
Robbery,78538,32945,44271,579,649,94,100,41.9,56.4,0.7,0.8,0.1,43475,8481,34994,100,19.5,80.5,2013
Aggravated assault,291031,183092,98748,4356,4423,412,100,62.9,33.9,1.5,1.5,0.1,178817,43604,135213,100,24.4,75.6,2013
Burglary,203089,136990,61709,1966,2196,228,100,67.5,30.4,1,1.1,0.1,120667,24035,96632,100,19.9,80.1,2013
Larceny-theft,990936,677173,284358,16402,12605,398,100,68.3,28.7,1.7,1.3,*,495161,62954,432207,100,12.7,87.3,2013
Motor vehicle theft,52307,34864,15960,685,725,73,100,66.7,30.5,1.3,1.4,0.1,31455,8203,23252,100,26.1,73.9,2013
Arson,8364,6198,1925,130,107,4,100,74.1,23,1.6,1.3,*,4131,661,3470,100,16,84,2013
Violent crime,391467,228782,151627,5193,5346,519,100,58.4,38.7,1.3,1.4,0.1,236813,55143,181670,100,23.3,76.7,2013
Property crime,1254696,855225,363952,19183,15633,703,100,68.2,29,1.5,1.2,0.1,651414,95853,555561,100,14.7,85.3,2013
Other assaults,881086,573546,283357,14041,9717,425,100,65.1,32.2,1.6,1.1,*,453745,65939,387806,100,14.5,85.5,2013
Forgery and counterfeiting,48581,31208,16375,288,677,33,100,64.2,33.7,0.6,1.4,0.1,26000,3864,22136,100,14.9,85.1,2013
Fraud,112920,74682,35958,1145,1094,41,100,66.1,31.8,1,1,*,58355,5323,53032,100,9.1,90.9,2013
Embezzlement,12574,7882,4386,87,207,12,100,62.7,34.9,0.7,1.6,0.1,7380,721,6659,100,9.8,90.2,2013
"Stolen property; buying, receiving, possessing",74541,50237,22687,684,862,71,100,67.4,30.4,0.9,1.2,0.1,43512,9990,33522,100,23,77,2013
Vandalism,161078,113842,42566,2951,1638,81,100,70.7,26.4,1.8,1,0.1,83109,15173,67936,100,18.3,81.7,2013
"Weapons; carrying, possessing, etc.",112228,65317,44671,888,1251,101,100,58.2,39.8,0.8,1.1,0.1,59587,15282,44305,100,25.6,74.4,2013
Prostitution and commercialized vice,41946,22666,17378,386,1492,24,100,54,41.4,0.9,3.6,0.1,21510,3801,17709,100,17.7,82.3,2013
Sex offenses (except rape and prostitution),46553,33695,11462,622,744,30,100,72.4,24.6,1.3,1.6,0.1,22165,6065,16100,100,27.4,72.6,2013
Drug abuse violations,1204162,815181,365785,9408,12930,858,100,67.7,30.4,0.8,1.1,0.1,628248,118827,509421,100,18.9,81.1,2013
Gambling,5055,1433,3362,27,226,7,100,28.3,66.5,0.5,4.5,0.1,1451,276,1175,100,19,81,2013
Offenses against the family and children,78465,51017,25519,1414,511,4,100,65,32.5,1.8,0.7,*,40416,2509,37907,100,6.2,93.8,2013
Driving under the influence,910470,766440,113928,12575,16831,696,100,84.2,12.5,1.4,1.8,0.1,505788,106377,399411,100,21,79,2013
Liquor laws,277444,222201,40665,10861,3672,45,100,80.1,14.7,3.9,1.3,*,147418,18692,128726,100,12.7,87.3,2013
Drunkenness,356427,288146,56885,7399,3550,447,100,80.8,16,2.1,1,0.1,254208,44007,210201,100,17.3,82.7,2013
Disorderly conduct,372202,231604,129782,7982,2775,59,100,62.2,34.9,2.1,0.7,*,191115,20110,171005,100,10.5,89.5,2013
Vagrancy,21354,13732,6802,581,222,17,100,64.3,31.9,2.7,1,0.1,11970,1728,10242,100,14.4,85.6,2013
All other offenses (except traffic),2602939,1741855,790854,43953,25090,1187,100,66.9,30.4,1.7,1,*,1337075,204652,1132423,100,15.3,84.7,2013
Suspicion,825,499,303,12,11,0,100,60.5,36.7,1.5,1.3,0,130,6,124,100,4.6,95.4,2013
Curfew and loitering law violations,47622,25007,21351,610,630,24,100,52.5,44.8,1.3,1.3,0.1,32122,5593,26529,100,17.4,82.6,2013
TOTAL 2015,8248709,5753212,2197140,174020,101064,23273,100,69.7,26.6,2.1,1.2,0.3,6546220,1204862,5341358,100,18.4,81.6,2015
Murder and nonnegligent manslaughter,8508,3908,4347,102,126,25,100,45.9,51.1,1.2,1.5,0.3,6594,1370,5224,100,20.8,79.2,2015
Rape3,17370,11809,4907,301,271,82,100,68,28.2,1.7,1.6,0.5,13117,3516,9601,100,26.8,73.2,2015
Robbery,73023,32439,39052,562,668,302,100,44.4,53.5,0.8,0.9,0.4,61475,12788,48687,100,20.8,79.2,2015
Aggravated assault,287566,184024,92237,5836,4631,838,100,64,32.1,2,1.6,0.3,243360,59883,183477,100,24.6,75.4,2015
Burglary,165948,112992,48907,1686,1963,400,100,68.1,29.5,1,1.2,0.2,140692,28267,112425,100,20.1,79.9,2015
Larceny-theft,893707,621585,244722,14311,11078,2011,100,69.6,27.4,1.6,1.2,0.2,701523,104678,596845,100,14.9,85.1,2015
Motor vehicle theft,59533,40000,17499,917,763,354,100,67.2,29.4,1.5,1.3,0.6,47712,13137,34575,100,27.5,72.5,2015
Arson,6762,4952,1519,177,88,26,100,73.2,22.5,2.6,1.3,0.4,5354,898,4456,100,16.8,83.2,2015
Violent crime,386467,232180,140543,6801,5696,1247,100,60.1,36.4,1.8,1.5,0.3,324546,77557,246989,100,23.9,76.1,2015
Property crime,1125950,779529,312647,17091,13892,2791,100,69.2,27.8,1.5,1.2,0.2,895281,146980,748301,100,16.4,83.6,2015
Other assaults,826920,544870,254600,15039,9910,2501,100,65.9,30.8,1.8,1.2,0.3,654038,118135,535903,100,18.1,81.9,2015
Forgery and counterfeiting,42436,27419,14001,293,644,79,100,64.6,33,0.7,1.5,0.2,33969,5488,28481,100,16.2,83.8,2015
Fraud,101556,67594,31495,1157,1171,139,100,66.6,31,1.1,1.2,0.1,81207,8785,72422,100,10.8,89.2,2015
Embezzlement,12169,7378,4482,83,203,23,100,60.6,36.8,0.7,1.7,0.2,9916,1083,8833,100,10.9,89.1,2015
"Stolen property; buying, receiving, possessing",68057,44561,21783,751,832,130,100,65.5,32,1.1,1.2,0.2,53831,10638,43193,100,19.8,80.2,2015
Vandalism,146090,101481,39778,2816,1667,348,100,69.5,27.2,1.9,1.1,0.2,120293,21509,98784,100,17.9,82.1,2015
"Weapons; carrying, possessing, etc.",110822,63967,44284,1099,1244,228,100,57.7,40,1,1.1,0.2,89055,20668,68387,100,23.2,76.8,2015
Prostitution and commercialized vice,31362,17084,12513,111,1599,55,100,54.5,39.9,0.4,5.1,0.2,28234,5275,22959,100,18.7,81.3,2015
Sex offenses (except rape and prostitution),39184,28650,9058,614,729,133,100,73.1,23.1,1.6,1.9,0.3,31410,7798,23612,100,24.8,75.2,2015
Drug abuse violations,1136950,803809,307140,11717,12436,1848,100,70.7,27,1,1.1,0.2,919876,186841,733035,100,20.3,79.7,2015
Gambling,3597,1296,2028,23,230,20,100,36,56.4,0.6,6.4,0.6,2271,463,1808,100,20.4,79.6,2015
Offenses against the family and children,71865,47312,21425,2552,538,38,100,65.8,29.8,3.6,0.7,0.1,53976,6575,47401,100,12.2,87.8,2015
Driving under the influence,825218,681628,108590,16042,16421,2537,100,82.6,13.2,1.9,2,0.3,649432,147423,502009,100,22.7,77.3,2015
Liquor laws,201550,160772,27742,9788,2749,499,100,79.8,13.8,4.9,1.4,0.2,149364,22338,127026,100,15,85,2015
Drunkenness,313390,239556,44676,25660,3037,461,100,76.4,14.3,8.2,1,0.1,291879,66293,225586,100,22.7,77.3,2015
Disorderly conduct,295835,189321,91716,11912,2311,575,100,64,31,4,0.8,0.2,206368,25996,180372,100,12.6,87.4,2015
